order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,312,4,9.45,0.0
2,1,299,2,1187.57,0.0
3,2,113,6,1496.34,0.0
4,2,280,1,620.63,0.0
5,2,283,6,1099.66,0.0
6,3,368,6,1430.34,0.0
7,3,149,4,967.69,0.0
8,4,38,7,543.59,0.0
9,4,38,6,69.04,0.0
10,4,356,5,882.51,0.4
11,4,74,-6,818.76,0.0
12,4,99,4,1450.9,0.0
13,5,210,5,690.83,0.0
14,5,283,4,414.32,0.26
15,5,164,2,743.92,0.0
16,5,509,6,1112.82,0.0
17,5,350,5,252.28,0.36
18,6,453,7,156.18,0.0
19,6,80,8,198.15,0.0
20,6,171,5,1277.24,0.0
21,7,497,5,1397.46,0.19
22,7,211,3,451.35,0.0
23,7,46,0,188.22,0.3
24,7,233,7,1358.99,0.0
25,7,96,4,592.65,0.0
26,8,90,1,1472.19,0.0
27,8,263,1,1380.51,1.71
28,9,83,2,740.29,0.0
29,9,44,-8,1249.84,0.0
30,9,191,6,1125.61,0.0
31,10,192,2,255.35,0.0
32,11,132,6,1166.43,0.12
33,11,246,3,967.1,0.11
34,11,235,7,471.98,0.28
35,11,172,2,1295.71,0.0
36,12,370,1,28.41,0.0
37,12,60,2,376.25,0.0
38,13,245,1,1109.77,0.0
39,13,457,8,847.22,0.0
40,13,205,8,279.82,0.0
41,13,207,7,1281.79,0.0
42,13,354,5,607.29,0.0
43,13,112,1,427.59,0.0
44,14,25,6,1248.37,0.08
45,14,418,1,338.97,0.38
46,14,333,-3,171.99,0.0
47,15,221,8,64.29,0.0
48,16,58,6,1354.4,0.0
49,17,123,4,603.96,0.0
50,17,94,3,1196.49,0.0
51,18,370,7,695.21,0.0
52,18,283,1,1334.0,0.28
53,18,420,5,1238.81,0.0
54,18,397,5,311.3,0.0
55,18,200,1,690.5,0.0
56,19,276,7,334.28,0.0
57,20,238,7,696.89,0.0
58,20,121,4,1355.9,0.0
59,20,54,8,419.53,0.0
60,20,393,6,1087.19,0.0
61,21,402,8,563.04,0.0
62,21,496,1,231.26,0.0
63,21,89,3,674.45,0.0
64,21,66,6,1277.64,0.0
65,21,54,5,608.3,0.0
66,22,389,5,235.11,0.0
67,22,95,5,689.12,0.0
68,23,175,1,694.68,0.0
69,23,25,8,361.73,0.0
70,23,83,6,93.51,0.0
71,23,524,6,1011.16,0.0
72,24,469,5,1360.91,0.0
73,24,37,-1,856.73,0.0
74,24,252,1,283.81,0.0
75,25,62,8,1336.4,0.0
76,25,209,7,271.3,0.14
77,25,17,1,685.86,0.0
78,26,85,8,762.45,0.0
79,26,99,8,731.78,0.0
80,27,454,8,1145.64,0.0
81,27,265,2,1401.69,0.0
82,27,78,4,506.45,0.0
83,27,139,1,1023.48,0.0
84,28,282,1,1087.31,0.38
85,28,188,5,705.89,0.0
86,28,68,5,471.24,0.18
87,28,343,1,975.54,0.0
88,29,135,1,254.59,0.0
89,29,339,1,256.71,0.0
90,29,487,3,1473.32,0.0
91,30,5,6,592.4,0.26
92,30,121,3,1222.26,0.0
93,30,261,3,1451.46,0.0
94,30,40,5,217.33,0.0
95,31,127,2,588.43,0.0
96,31,251,8,1261.77,0.0
97,31,460,4,427.53,0.25
98,32,103,4,1250.63,0.0
99,32,296,7,1417.11,0.0
100,32,247,7,550.06,0.07
101,32,316,7,58.29,1.22
102,32,459,2,677.1,0.0
103,33,256,4,1056.55,0.0
104,33,319,6,918.05,0.0
105,34,374,7,467.51,0.0
106,34,348,2,947.77,0.0
107,34,342,2,803.71,0.33
108,34,371,1,1492.93,0.0
109,34,399,3,352.68,0.0
110,34,69,8,525.71,0.0
111,35,164,2,852.2,0.0
112,35,465,6,1483.08,0.0
113,36,513,3,163.82,0.0
114,37,298,1,227.66,0.0
115,37,295,5,133.14,0.0
116,38,505,4,497.77,0.3
117,38,187,7,513.62,0.0
118,39,497,7,872.78,0.0
119,40,195,7,570.46,0.0
120,40,157,6,1108.23,0.0
121,40,101,5,647.58,0.0
122,40,62,8,152.64,0.0
123,40,96,3,1460.05,0.3
124,41,343,1,155.89,0.0
125,42,91,6,312.64,0.0
126,42,87,-1,330.28,0.0
127,42,333,4,662.04,0.0
128,42,40,2,525.6,0.0
129,42,229,6,952.46,0.0
130,42,484,6,215.4,0.0
131,43,76,3,1159.87,0.0
132,43,353,5,154.46,0.24
133,43,289,2,297.22,0.0
134,43,472,4,1449.68,0.0
135,43,57,7,646.86,0.0
136,43,6,4,1043.02,0.0
137,44,196,3,1372.04,1.58
138,44,192,2,457.34,0.0
139,45,340,8,83.66,0.0
140,46,284,-4,668.46,0.0
141,47,232,7,1325.84,0.0
142,47,312,6,1199.88,0.0
143,47,134,2,1354.34,0.0
144,47,140,8,630.15,0.0
145,47,302,-5,591.5,0.38
146,47,210,1,786.65,0.0
147,48,60,3,1235.34,0.0
148,48,159,6,1307.81,0.0
149,49,452,7,987.98,0.0
150,49,76,5,756.36,0.0
151,49,50,2,517.02,0.0
152,49,388,4,854.33,0.0
153,50,173,3,912.07,0.0
154,50,375,3,872.67,0.0
155,50,359,5,1366.45,0.36
156,50,183,1,218.19,0.0
157,50,489,8,1118.16,0.0
158,51,249,8,695.51,0.0
159,51,195,4,857.65,0.0
160,51,312,2,1226.39,0.06
161,51,466,5,1426.15,0.0
162,51,209,1,233.64,0.0
163,51,78,3,537.06,-0.05
164,52,401,5,927.26,0.0
165,53,363,6,46.72,0.0
166,54,492,6,428.37,0.0
167,54,70,4,953.64,0.0
168,54,279,7,844.36,0.0
169,54,406,3,611.34,0.0
170,54,395,5,1493.05,0.18
171,55,495,8,1032.46,0.0
172,56,479,1,822.83,0.0
173,56,419,2,30.21,0.0
174,57,341,3,783.93,0.38
175,57,346,1,357.12,0.0
176,57,278,7,214.94,0.0
177,57,431,6,467.86,0.0
178,58,33,4,589.07,0.0
179,58,304,7,1055.06,0.0
180,58,496,1,484.55,0.0
181,58,311,1,784.17,0.0
182,58,193,6,138.99,0.0
183,58,197,8,1455.43,0.0
184,59,420,5,784.09,0.11
185,59,295,-4,277.71,0.0
186,59,504,-6,739.46,0.0
187,60,3,1,1456.01,0.0
188,60,8,3,920.37,0.0
189,61,177,4,163.2,0.39
190,61,27,8,1129.8,0.0
191,62,233,6,176.05,0.0
192,62,221,1,1398.16,0.0
193,62,382,1,658.16,0.0
194,62,273,3,1280.64,0.0
195,62,110,6,1405.41,0.0
196,63,82,3,1344.78,0.0
197,63,291,5,661.28,0.0
198,63,434,8,1442.16,0.0
199,63,479,6,877.41,0.0
200,64,166,8,1411.88,0.0
201,64,27,7,963.53,0.0
202,64,161,6,397.19,0.0
203,64,491,6,1034.51,0.0
204,64,209,7,560.05,0.0
205,64,367,7,960.62,1.74
206,65,328,3,265.95,0.32
207,66,370,7,368.99,0.0
208,66,490,5,476.09,0.0
209,66,50,6,1477.32,0.0
210,66,161,4,1254.79,0.0
211,66,350,2,969.46,0.0
212,66,308,3,198.97,0.0
213,67,293,2,377.88,0.0
214,68,63,7,1078.39,0.0
215,69,162,5,1275.14,0.0
216,70,336,5,1165.92,0.0
217,70,107,5,453.02,0.0
218,70,9,5,1424.09,0.0
219,70,165,1,1060.6,0.0
220,70,160,2,1139.89,0.0
221,71,429,7,638.52,0.35
222,72,58,6,837.11,0.0
223,72,195,6,1454.24,0.0
224,72,249,1,626.7,0.0
225,73,57,7,1330.18,0.0
226,73,436,3,120.04,0.05
227,73,71,5,504.81,0.0
228,73,400,5,992.36,0.0
229,73,103,6,132.1,0.0
230,73,375,8,776.21,0.0
231,74,402,2,1316.72,0.0
232,74,480,4,666.04,0.0
233,74,343,-2,372.29,0.0
234,74,262,1,263.14,0.0
235,74,26,3,362.63,0.15
236,74,163,8,386.83,0.0
237,75,244,1,935.12,0.0
238,75,521,3,70.34,0.0
239,75,64,4,417.27,0.0
240,76,18,1,1062.27,0.0
241,76,328,4,753.74,0.0
242,76,390,2,1034.87,0.0
243,77,215,5,628.5,0.18
244,77,23,2,569.34,0.0
245,77,146,6,178.82,0.0
246,77,357,6,1386.39,0.0
247,77,194,6,765.55,0.25
248,78,477,6,661.56,0.0
249,78,181,3,1252.38,0.0
250,78,65,-8,1412.26,0.0
251,78,417,2,547.83,0.0
252,78,159,5,1135.52,0.0
253,79,342,5,1343.12,0.0
254,79,129,2,895.94,0.0
255,79,115,8,728.14,0.0
256,79,68,8,389.78,0.0
257,79,85,1,151.41,0.0
258,80,244,4,449.79,0.0
259,80,36,6,647.24,0.0
260,80,83,8,1488.38,0.0
261,81,175,4,1339.34,0.0
262,81,403,7,1201.14,0.0
263,81,395,2,1060.21,0.0
264,81,297,2,409.04,0.0
265,81,288,4,304.7,1.3
266,82,382,6,1017.39,0.0
267,82,365,8,1415.44,0.07
268,82,95,5,52.73,0.0
269,82,13,2,293.1,0.0
270,82,69,0,1441.28,0.0
271,83,131,4,207.36,0.0
272,83,467,6,902.19,0.0
273,83,40,5,272.83,0.0
274,84,144,6,536.71,0.18
275,84,418,4,866.5,0.0
276,85,219,1,448.64,0.0
277,86,385,8,512.55,0.35
278,87,189,0,709.85,0.0
279,87,160,8,1457.43,0.0
280,87,419,5,1292.17,0.0
281,87,475,3,714.49,0.11
282,88,170,2,312.33,0.0
283,88,387,1,578.46,0.0
284,89,345,3,492.37,0.0
285,89,435,7,567.2,0.0
286,89,416,2,313.41,0.0
287,89,174,5,387.17,0.0
288,90,232,3,459.67,0.0
